subset,model,auc,pr_auc,excess_pr_over_prevalence,prevalence,n_rows,negatives
expression_supported_same_cell,Structural-prior control,0.4634895887070654,0.9900496085503878,0.001039839456249303,0.9890097690941385,108096,1188
expression_supported_same_cell,FRoGS-shortlist,0.5419241491378282,0.9909481232778728,0.0019383541837343365,0.9890097690941385,108096,1188
expression_supported_same_cell,GMPTI-shortlist,0.5523399142772809,0.991004821535002,0.0019950524408635095,0.9890097690941385,108096,1188
expression_supported_same_cell,Context-aware fusion control,0.6670885026667568,0.9921571787428514,0.003147409648712851,0.9890097690941385,108096,1188
expression_supported_same_cell,VCCV,0.6972308249177146,0.9932082704056523,0.00419850131151378,0.9890097690941385,108096,1188
expression_supported_same_cell_power_augmented,Structural-prior control,0.46392187566852855,0.9890277727654155,0.0008238010808950813,0.9882039716845205,159630,1883
expression_supported_same_cell_power_augmented,FRoGS-shortlist,0.5377616687659689,0.9900665708840842,0.0018625991995637747,0.9882039716845205,159630,1883
expression_supported_same_cell_power_augmented,GMPTI-shortlist,0.5425552268717656,0.9899645281270122,0.0017605564424917342,0.9882039716845205,159630,1883
expression_supported_same_cell_power_augmented,Context-aware fusion control,0.6505287827179832,0.991111994851374,0.0029080231668535683,0.9882039716845205,159630,1883
expression_supported_same_cell_power_augmented,VCCV,0.6751216691923121,0.9919290872871369,0.003725115602616458,0.9882039716845205,159630,1883
strict_same_cell_power_augmented,Structural-prior control,0.4468198262959723,0.9866857070845458,-0.001739486205683427,0.9884251932902293,44234,512
strict_same_cell_power_augmented,FRoGS-shortlist,0.4799545369750926,0.9885984863205965,0.00017329303036728305,0.9884251932902293,44234,512
strict_same_cell_power_augmented,GMPTI-shortlist,0.48483591998879283,0.9889922405323072,0.0005670472420779005,0.9884251932902293,44234,512
strict_same_cell_power_augmented,Context-aware fusion control,0.5649074782861031,0.9890569301377543,0.000631736847525044,0.9884251932902293,44234,512
strict_same_cell_power_augmented,VCCV,0.588075966833059,0.9900872960803979,0.0016621027901686514,0.9884251932902293,44234,512
dose_proximal_power_augmented,Structural-prior control,0.4778061022543502,0.9854798982765318,-0.0010668643133961986,0.986546762589928,13900,187
dose_proximal_power_augmented,FRoGS-shortlist,0.4063941043492435,0.9842721936068188,-0.002274568983109182,0.986546762589928,13900,187
dose_proximal_power_augmented,GMPTI-shortlist,0.43280099175964415,0.9835413597411609,-0.003005402848767158,0.986546762589928,13900,187
dose_proximal_power_augmented,Context-aware fusion control,0.5685997634470745,0.9872959848189211,0.0007492222289930961,0.986546762589928,13900,187
dose_proximal_power_augmented,VCCV,0.6073443716899262,0.9896754161876484,0.00312865359772041,0.986546762589928,13900,187
